eid,dataset,title,text,text_size,text_length,text_word_count,bertsum_quality,refresh_quality,bert_qa_quality,bertsum,refresh,bert_qa
47,Amazon,,"Oh, what a wonderful, living, time machine of a book.  The subject is ""daily life in 19th century England.""  More directly, the book is addressed to anyone who ever read a book by Dickens, Austen, or one of the Bronte sisters, and found themselves struggling along as best they could to grasp the importance of whist, calling cards, and the different types of carriages. I would think that if you're a fan of Victorian literature, you'll love this book, but honestly, I'm not a fan of Victorian literature, and I enjoyed it intensely.  We live in a rapidly-changing, diverse, multicultural society now, and while this certainly has its strong points, there seems to be some pleasure in reminding ourselves of the vitality and strength of English society at the height of its 19th century influence.  Somewhere underneath our current world, we subconsciously sense a shared heritage here worth remembering (and this has nothing to do with bloodlines; I'm Czech by blood, but still feel the power of a world I care about stirring back to life in this book.)It is -- for lack of a better word -- fun -- to read through these various explanations and to see this forgotten world coming back together.  How do I make change, what are shillings and pence again?  How do you play the card game, ""whist?""  What terms of address are people of different social ranks supposed to use with each other?  Why are the English eating pudding all the time in these novels?  What's the difference between a brougham and a curricle?  When am I supposed to leave my calling card, and to whom?  And what are all these dances that Elizabeth and Darcy are doing?Victorian literature allows readers to swim in this cultural landscape but never really explains it.  One just has to try to pick it all up by osmosis.  That's actually a perfectly good way to learn about a culture, but for those of us who like a little more straightforward explanation, this book fits the bill.  It's as though you took the Time Machine back to 1835, made your way along as best you could for a while, and finally someone sits you down and says, ""OK, THIS is how all this works. Use THIS spoon, and don't call Mr. So-and-so that, it's rude, etc. . . ""  The light bulb finally goes on in your head, and you feel much better.If the book simply explained all this stuff without being vivid and fun, I wouldn't give it five stars.  But it's written with a lively humor and contagious affection.  I raced through it, and I think most other interested readers would as well",long,2524,447,neutral,neutral,good,"The subject is `` daily life in 19th century England . ''<q>More directly , the book is addressed to anyone who ever read a book by Dickens , Austen , or one of the Bronte sisters , and found themselves struggling along as best they could to grasp the importance of whist , calling cards , and the different types of carriages .<q>Oh , what a wonderful , living , time machine of a book .","The subject is `` daily life in 19th century England . ''
Why are the English eating pudding all the time in these novels ?
And what are all these dances that Elizabeth and Darcy are doing?Victorian literature allows readers to swim in this cultural landscape but never really explains it .",this book fits the bill
32,Amazon,,"For anyone who is an English Second Language (ESL) student, the most challenging aspects of the language are idioms, slang and vernacular. It can be very difficult to follow what people are saying and to make sense of it all. ESL instructors are there to help but they cannot always be present to explain things. You likely wouldn't want to go to the movies or hang out with your friends with your teacher by your side. Edward J. Francis has created an excellent study guide just for the idioms and vocabulary that an ESL student can't live without.   Whether for use in the classroom as an additional tool for teachers or as a personal aid for anyone whose second language is English, ""A Year in the Life of an ESL Student"" is sure to be a welcome help. With hundreds of vocabulary words and idioms to work with, readers will find that their understanding of English has improved upon completing this study guide.  Using a storyline to show the words in context, Francis allows readers to experience what is being talked about rather than just read about it. Andre, a student from Switzerland, spends a year studying English in North America. His experiences center around typical young adult life, including trips to the mall, movies and a bar. Days spent in class, on the road for a weekend trip and picking up a friend at the airport give example to every day life. During all of these short story experiences Andre encounters idioms and slang. Reading these in context is a perfect way for ESL students to learn about them.Each chapter includes a story scene, a list of definitions, seven exercises including matching terms, fill in the blanks, crossword puzzles, word searches, and more, comprehension questions to think about and answer, discussion questions to work on with a partner and a section to put your new knowledge to the test. After the sixteen chapters the author gives an extensive list of website resources that relate to each chapter, the answer key to the entire book, and finally, a glossary that lists every one of the hundreds of idioms in the book. This is a thorough guide that is sure to be a hit. It will make learning English a bit more fun and ""hands on"". Edward Francis is an ESL professional with over 15 years of teaching experience. He has created a tool that will enhance the lives of many people and those that surround them. Review by Heather Froeschl",long,2390,420,neutral,neutral,neutral,"Edward J. Francis has created an excellent study guide just for the idioms and vocabulary that an ESL student ca n't live without .<q>Using a storyline to show the words in context , Francis allows readers to experience what is being talked about rather than just read about it .<q>He has created a tool that will enhance the lives of many people and those that surround them .","For anyone who is an English Second Language -LRB- ESL -RRB- student , the most challenging aspects of the language are idioms , slang and vernacular .
ESL instructors are there to help but they can not always be present to explain things .
Edward J. Francis has created an excellent study guide just for the idioms and vocabulary that an ESL student ca n't live without .","A Year in the Life of an ESL Student"""
23,Amazon,,"This book is an exploration into all aspects of ant life, written for general readers.  Holldobler and Wilson, who wrote the massive scientific reference volume, The Ants, felt that there was also a demand for a less formal book about ants that ordinary readers might enjoy reading from cover-to-cover.  In this book, they describe not only the lives of ants and ant colonies, but also how their own interests in ants developed.  The book covers such topics as the dominance of ants, the life and death of the colony, the colony as a superorganism, ant communication, relations between ants within and between colonies, ancient ants, ant parasites, army ants, and ants and the environment.  They also include a brief section on how to study ants.  The book is illustrated both black-and white photos and sets of color photographic plates.  There is an index, but surprisingly, there is no bibliography or recommendations for further reading; presumably, their main recommendation would be to consult their reference volume, The Ants.The first chapter in the book, The Dominance of Ants, stood out the most for me.  In this chapter, the authors note that ants are overwhelmingly the dominant species on earth.  By weight, the world ant population equals the world human population, and represents half or more of the world's insect biomass.  These ten thousand trillion creatures are spread throughout the world's habitats, from the Amazon to Finland, from deserts to rain forests.  With that in mind, the study of ants is clearly well-worth taking up.  Why are ants so populous and successful?  As the authors argue, one reason is their social nature.  They put the survival of the colony above their own individual survival.  Nevertheless, through quirks in their reproductive behavior, this cooperative behavior still maximizes the potential for their own genetic material to be passed on to future generations.  Just because they are social, however, doesn't mean that all is peaceful within the colony between individual ants, as Holldobler and Wilson point out.  These topics and many others are described in language that is very accessible to general readers.  I found myself not only better informed about ants after reading this book, but also with a much greater sense of respect for such remarkable creatures",long,2319,373,good,good,good,"This book is an exploration into all aspects of ant life , written for general readers .<q>The book covers such topics as the dominance of ants , the life and death of the colony , the colony as a superorganism , ant communication , relations between ants within and between colonies , ancient ants , ant parasites , army ants , and ants and the environment .<q>In this book , they describe not only the lives of ants and ant colonies , but also how their own interests in ants developed .","The book covers such topics as the dominance of ants , the life and death of the colony , the colony as a superorganism , ant communication , relations between ants within and between colonies , ancient ants , ant parasites , army ants , and ants and the environment .
The book is illustrated both black-and white photos and sets of color photographic plates .
In this chapter , the authors note that ants are overwhelmingly the dominant species on earth .","This book is an exploration into all aspects of ant life, written for general readers"
48,Amazon,,"I was 13 years old when I read *Jubilee* for the first time.  I found it in the library and spent a rainy Saturday devouring the story.  After the last page was turned, I ran immediately to my grandmother (who was born in 1906, and therefore an expert in all things old) and asked her how any of this could possibly be true.  I knew about slavery from history books, but slave masters having children with slaves!  What followed was an eye-opening conversation about what our history REALLY was - and who the people of the south really were.  I never forgot the experience, and I never forgot the book.Now, I am 18 years older, and once again, on a rainy Saturday, I picked up a copy of *Jubillee* (this time from Square Books in Oxford) and read the whole book again.  The story was still as powerful, and I understood so much more than I could back then.  I understood the mastery of Walker's writing, the power of her story, and the incredible fairness and depth with which Walker crafted her novel.  So many voices of the South speak to us . . .The chief voice is of course Vyry's - it's her story.  She is the voice of forgiveness, compassion, fairness, and spirituality that reaches to so many.  She is also a voice that triumphs over the horrible suffering and injustice of the pre-Civil War South.  She endures Emancipation and Reconstruction - not quite the panacea of those history books that led me astray so young - and ultimately triumphs over hate in all its forms.  Her words concerning misunderstanding and reconciliation in the closing 4 chapters of the novel are some of the most powerful words in literature.  She is a heroine among heroines - a beautiful example of what it means for humanity to triumph over prejudice and adversity.  Alone, it would be a great tale, but the voices don't stop with Vyry alone . . .Each of the characters speaks for a class of those who grew up in the South:  the angry poor-whites (Grimes, the people who burn Vyry and Innis out of their home), the angry black men (Randall Ware, Jim to an extent), the privileged and cruel white upper class (Big Missy Salina), those among the white upper class who felt the injustice and yet were too cowardly to enact change (Marster Dutton and Miss Lillian), the freedom fighters that worked diligently to bring freedom (Brother Zeke), those who suffered before they saw the promised land (Mammy Sukey, Aunt Sally), and those who wanted to turn the labor that had been stolen for so long into proof of their worth (Innis Brown).  Not only are all these voices present, but they are treated with equal sympathy and truth.  Even the most evil of characters, like Grimes, is presented with compassion.  Even the most heroic of characters, like Randall Ware, is portrayed with human frailties in tact.  This is what makes *Jubilee* not just another slave novel, but a novel that really makes history alive.I am a descendant of the poor white class.  What *Jubilee* proved to me as a child was simple:  I shared more with people of color than I thought.  What it proves to me now is no less profound:  Our history and our heritage are bound together by threads that we may not understand, and yet they are undeniable.  Perhaps Vyry said it best:  we all need each other.  Only when we as a nation and a people realize that truth can true healing take place",long,3342,597,neutral,good,good,"So many voices of the South speak to us .<q>She is also a voice that triumphs over the horrible suffering and injustice of the pre-Civil War South .<q>She is the voice of forgiveness , compassion , fairness , and spirituality that reaches to so many .","I was 13 years old when I read * Jubilee * for the first time .
I found it in the library and spent a rainy Saturday devouring the story .
So many voices of the South speak to us ... The chief voice is of course Vyry 's - it 's her story .",The story was still as powerful
6,Amazon,,"I work for some very wealthy people who travel frequently. They always buy a package tour for umpteen thousands of dollars, stay at four-star hotels or on luxury cruise vessels, make no effort to read anything about the countries they're visiting because there's ""not enough time,"" and -- other than some nice photographic trophies and a few stories about the funny things their guide said -- don't know much more about their destinations after the trip than before.In his other books that I have read -- HOW PROUST CAN CHANGE YOUR LIFE and THE CONSOLATIONS OF PHILOSOPHY -- Alain de Botton has succeeded to taking very complex material and distilling it down to a few home truths that are as enlightening as anything I have read on the subjects.You can imagine that I was eager to see what de Botton would do with travel, about which I know something because I love it above all other things in my life. Before going on a vacation, I start a six-month reading program encompassing guidebooks, histories, biographies, and the literature of the country or countries I am visiting.When I visited Iceland in 2001, for example, I read all the major  medieval Icelandic sagas, anything I could find by Nobel Prize winner Halldor Laxness, histories, travel books by W. H. Auden, Lord Dufferin (19th century Governor General of Canada), and others. That would place me in the category of J. K. Huysmans's hero Des Esseintes -- with one major difference: I also took the journey and enjoyed it. I am doing the same prep now for an upcoming visit to Patagonia.People travel for many reasons, but they sometimes forget that travel will not necessarily open their minds and hearts to anything. There is an old 1960s saying: ""Wherever you go, there you are."" De Botton exposes our motives and shows that, in effect, the way to enjoy travel the most is to be prepared for and open to change, to in effect change the ""you"" that is travelling.Both Pascal and Dostoyevsky have noted that man is unhappy largely because he does not know how to stay quietly in his own room. If so, man will be no happier under a palm tree in Bora Bora.There is one scene in the first chapter, ""On Anticipation,"" that summarizes it all for me. De Botton and his travelling companion get into a spat over who gets which portion of dessert. Despite the idyllic setting in Barbados, the day is spoiled for both of them:""There is a contrast between the vast projects we set in motion, the construction of hotels and the dredging of bays, and the basic psychological knots that undermine them, How quickly may the advantages of civilisation be wiped out by a tantrum. The intractibility of the mental knots points to the austere, wry wisdom of those ancient philosophers who walked away from prosperity and sophistication and argued, from within a barrel or a mud hut, that the key ingredients of happiness could not be material or aesthetic but most always be stubbornly psychological...""And there we get to the rub: This is a book about how travel can make you happy -- if you're ready for it",long,3054,533,neutral,neutral,good,"Before going on a vacation , I start a six-month reading program encompassing guidebooks , histories , biographies , and the literature of the country or countries I am visiting.When I visited Iceland in 2001 , for example , I read all the major medieval Icelandic sagas , anything I could find by Nobel Prize winner Halldor Laxness , histories , travel books by W. H. Auden , Lord Dufferin ( 19th century Governor General of Canada ) , and others .<q>De Botton exposes our motives and shows that , in effect , the way to enjoy travel the most is to be prepared for and open to change , to in effect change the `` you '' that is travelling.Both Pascal and Dostoyevsky have noted that man is unhappy largely because he does not know how to stay quietly in his own room .<q>I am doing the same prep now for an upcoming visit to Patagonia.People travel for many reasons , but they sometimes forget that travel will not necessarily open their minds and hearts to anything .","That would place me in the category of J. K. Huysmans 's hero Des Esseintes -- with one major difference : I also took the journey and enjoyed it .
There is an old 1960s saying : `` Wherever you go , there you are . ''
De Botton and his travelling companion get into a spat over who gets which portion of dessert .",This is a book about how travel can make you happy -- if you're ready for it
31,Amazon,,"""As the American empire rolls mindlessly on, attempting to convert the entire world to its way of life, the loss of what is truly human is going to be pretty heavy. I would like to say things can be turned around, that the nation will wake up, but all the signs indicate just the reverse. ... A world awash in suburbs, television and sensationalism, cell phones and Burger King, Prozac and violence, fundamentalist Christianity and sink-or-swim ethics, is no vision for the future. ...  In addition, our foreign policy, the Cold War mentality that ran parallel to these developments was a big mistake ... So `terrorism' now replaces communism ..."" Berman in ""Dark Ages America"" backs up his analysis with statistical sources, for example showing domestic retraction in the U.S., particularly of civil society; the dramatic reduction of community groups, (tens of thousands disappeared from 1973 to 1994), large reductions in attendance at public meetings, school affairs, Church groups, union membership, dinners at home with friends, bridge clubs and etc.. His analysis extends from the domestic to cover America's place in the world, and the inevitable retraction already in evidence. His summary of post WWII economics and the ending of the Bretton Woods agreement deserves to be read and taken seriously. Predatory economics and the reaction to the New Deal got their second wind in the early 1970s and dominate the world. The military adventures also need his kind of `big picture' analysis.The U.S. is not a particularly healthy modern nation, by any measure, although Berman's reference to infant mortality (U.S. is 37th) perhaps exaggerates; survival to age 1 year is still 99% although this compares with Japan at 99.5%. Statistics on death of young men from homicide, however, are disgraceful. The U.S. rates of age-specific homicide and other violence for residents aged 15 to 34 are at least twice as high as the rates of any comparable `advanced' country.Berman says: ""When it comes down to the basics [regardless of religion, etc. Americans are Protestant, capitalist, individualist, grounded in the ideology of an expanding market economy] America is about as diverse as a one-string guitar"". America apparently is not getting any better, nor is it going to. For the sake of the world, I wish it would. Berman does not specifically enter into the effect of `peak oil' or `climate change' on `modernization American style', but surely there will be serious constraints. Climate change will cut short the burning-off of the remaining coal inventory, and the world will not even remotely become American. There is not room for too much America. U.S. carbon emissions are 5.5 metric tons per person; Bangladesh, 0.1 metric tons per person (Energy Information Administration, Official Energy Statistics from the U.S. Government). There are 281M Americans.  By this measure, the U.S. equates to a notional 15 billion Bangladeshi.",long,2938,472,neutral,neutral,good,"The U.S. rates of age-specific homicide and other violence for residents aged 15 to 34 are at least twice as high as the rates of any comparable ` advanced ' country.Berman says : `` When it comes down to the basics [ regardless of religion , etc .<q>... A world awash in suburbs , television and sensationalism , cell phones and Burger King , Prozac and violence , fundamentalist Christianity and sink-or-swim ethics , is no vision for the future .<q>So ` terrorism ' now replaces communism ... '' Berman in `` Dark Ages America '' backs up his analysis with statistical sources , for example showing domestic retraction in the U.S. , particularly of civil society ; the dramatic reduction of community groups , ( tens of thousands disappeared from 1973 to 1994 ) , large reductions in attendance at public meetings , school affairs , Church groups , union membership , dinners at home with friends , bridge clubs and etc.. His analysis extends from the domestic to cover America 's place in the world , and the inevitable retraction already in evidence .","... A world awash in suburbs , television and sensationalism , cell phones and Burger King , Prozac and violence , fundamentalist Christianity and sink-or-swim ethics , is no vision for the future .
His analysis extends from the domestic to cover America 's place in the world , and the inevitable retraction already in evidence .
His summary of post WWII economics and the ending of the Bretton Woods agreement deserves to be read and taken seriously .",His summary of post WWII economics and the ending of the Bretton Woods agreement deserves to be read and taken seriously
10,Amazon,,"This book contains the full text of the play and a great deal of additional information in the form of historical documents, reviews, criticism, essays, etc. I am still wading through some of the essays, many of which are very insightful and appropriately chosen. It is interesting to read some of the early criticisms of the play and the essays really help you to think critically about the play and understand it better, as well as the historical background to it, and some of the early criticisms of it. Definitely recommended for serious scholarly study of the play.My main criticism of the play itself is Miller's EXTREMELY revisionist view of history. Miller seems to have done little if any historical research and has no understanding of the time period beyond what the average American has (or should have) and falls into the ""typical"" stereotypes regarding the Puritans. For example, he has a line to the effect that (and I am paraphrasing here) 'before Lucifer fell, even God thought him beautiful in heaven.' No Puritan would have said anything like this; this line and similar ones fly in the face of the doctrine of the omnipotence of God (i.e. the doctrine that God is all-knowing), which the Puritans STRONGLY affirmed. Miller presents the Puritans as a highly irrational, superstitious group, which couldn't be further from the truth. The Puritans placed a very high emphasis on logic and reason, and Isaac Watts (a Puritan) wrote one of THE standard textbooks on logic (which was used at both Oxford and Cambridge Universities for over 200 years and is still in print and available). The Puritan society had a much higher literacy rate than the U. S. does now. Perhaps I overemphasize this point; I realize that Puritan history is not the main point of the play, but his revisionist history sure does weaken his case and make it a frusterating read for anyone with more than a cursory undersanding of Puritan history. Much of this play is also higly speculative in history. Please, please, PLEASE do not read this play expecting ANYTHING historically accurate in the least about the Puritans! This play has done a tremendous amount of damage to understanding of the Puritans!Now that I have finished my diatribe, some of the critics have challenged Miller's analogy to McCarthyism, but there are some good essays on this in the book. I have my opinions on that, but with the above in mind, read the play, read the essays on it, and decide how good the analogy is. It is worth the while",long,2503,430,neutral,good,good,"Miller presents the Puritans as a highly irrational , superstitious group , which could n't be further from the truth .<q>Definitely recommended for serious scholarly study of the play.My main criticism of the play itself is Miller 's EXTREMELY revisionist view of history .<q>Miller seems to have done little if any historical research and has no understanding of the time period beyond what the average American has ( or should have ) and falls into the `` typical '' stereotypes regarding the Puritans .","This book contains the full text of the play and a great deal of additional information in the form of historical documents , reviews , criticism , essays , etc. .
Definitely recommended for serious scholarly study of the play.My main criticism of the play itself is Miller 's EXTREMELY revisionist view of history .
Miller presents the Puritans as a highly irrational , superstitious group , which could n't be further from the truth .",This book contains the full text of the play
24,Amazon,,"Has it really been twenty years since John Piper first released Desiring God?  I had been thinking recently about abiding in Christ and the nature of desire, as well as the upcoming Together for the Gospel conference which Piper will speak at, so I thought it would be a good time to re-read this modern-day classic.For those who aren't familiar with it, twenty years ago a relatively little known young pastor from Minneapolis published a book that sent shock waves throughout the evangelical world and became the springboard for a ministry that now encompasses books, sunday school curricula, a radio show, and countless speaking appearances.  What was this radical message?  That God is most glorified in us when we are most satisfied in Him, that the chief purpose of man is to glorify God by enjoying Him forever. This proposition, that God actually created us and commands us to seek pleasure in Him, is what Piper deemed ""Christian hedonism.""  Although there are certainly seeds of this truth in the writings of Augustine, Edwards, Pascal, and Lewis (to name a few), Piper developed and brought it out full force onto the modern evangelical scene.  It brought him both acclaim and controversy, great joy and great conflict.It is impossible to condense a 350+ page intense theological tome down to a few paragraphs, and I will not even try.  The book begins with a chapter on how he developed his theology,and then outlines a theological basis for Christian hedonism. He next has chapters devoted to the transforming impact that desiring God has on worship, love, scripture, prayer, money, marriage, missions, and suffering. This is no touchy feely devotional book-it has 15 pages of chapter end notes annotating quotations from Baxter, Pascal, Henry, Packer, Edwards, Lewis, Bounds, Mueller, Barth, Murray, Polycarp, Augustine, and many more.  It references over 700 separate verses from the Bible.Every Christian needs to read this book and deeply think through its truths.  Even if you end up not agreeing with all of Piper's assertions, there is so much gold to be mined from the reading and considering that you will be richly blessed.  And if you read it a few years ago, or twenty years ago, read it again!  There was much gold that I had mined from the book years back but had frankly forgot; and there was much that I hadn't seen or appreciated as gold that I saw anew with a fresh reading.  Read this book",long,2421,409,neutral,neutral,good,"Has it really been twenty years since John Piper first released Desiring God ?<q>The book begins with a chapter on how he developed his theology , and then outlines a theological basis for Christian hedonism .<q>He next has chapters devoted to the transforming impact that desiring God has on worship , love , scripture , prayer , money , marriage , missions , and suffering .","Has it really been twenty years since John Piper first released Desiring God ?
This proposition , that God actually created us and commands us to seek pleasure in Him , is what Piper deemed `` Christian hedonism . ''
It brought him both acclaim and controversy , great joy and great conflict.It is impossible to condense a 350 + page intense theological tome down to a few paragraphs , and I will not even try .",The book begins with a chapter on how he developed his theology
15,Amazon,,"This review is directed primarily at those who no longer read comics or graphic novels as much as they used to.  There are no spoilers in this review.  Read without fear!First, like other reviewers, I would strongly recommend that you buy vols 1 and 2 before reading this book.  This volume collects issues 13-18 of Astonishing X-men, but if you haven't read 1-12 most of what happens in these pages simply won't make sense.That said, I'm not going to cover the content of this book so much as Whedon's general approach to writing the X-Men.  Like many others, I enjoyed the Claremont works in the late 1970s but found that by the 1990s the X-Men story line was so convoluted it was difficult to really follow, especially as graduate school was taking more and more of my time. Whedon has limited the number of main characters in Astonishing X-Men to 6 and this allows him to focus on the unique personalities and interactions among the group.  As a result, the characters have more depth than ever before.  The issue in which the new team faces (individually) their worst fears (found in this volume) is a real triumph in comic writing.  Interestingly enough, this approach also removes Wolverine from center stage.  By far the two most interesting characters in Astonishing X-Men are Kitty Pryde and Emma Frost, each of whom acts as a perfect foil for the other throughout the series.  Indeed, the survival guilt of both Emma and Kitty feel in the wake of the mass destruction at Genosha frames this entire story arc.Cassady's artwork meshes perfectly with Whedon's writing.  Beast has a more cat-like appearance here than anywhere else and the transitions between his intellectual and feral self are simply stunning.  Even the supporting cast is drawn with sensitivity and truly come alive.  Agent Brand of SWORD, Blindfold, and even Lockheed all receive better portraits here than anywhere else.So why should you read this series, especially if you, like me, thought your comic reading days were past?  Simple.  Whedon and Cassady remain true to the characters we grew up loving, but this is clearly the adult version of X-Men.  The old X-Men were extraordinary, and very near unbeatable. They explored a variety of social issues, but always within the constraints of the ""comic book format.""  These new X-Men, despite, or perhaps even because of, their return to traditional comic costumes, are far more human in their hopes, fears, guilt, and love than many of their predecessors.  And they are far more interesting. If you want to reaquaint yourself with some long lost friends, this series is definitely for you.",long,2620,440,neutral,neutral,good,"By far the two most interesting characters in Astonishing X-Men are Kitty Pryde and Emma Frost , each of whom acts as a perfect foil for the other throughout the series .<q>The issue in which the new team faces ( individually ) their worst fears ( found in this volume ) is a real triumph in comic writing .<q>As a result , the characters have more depth than ever before .","Whedon has limited the number of main characters in Astonishing X-Men to 6 and this allows him to focus on the unique personalities and interactions among the group .
As a result , the characters have more depth than ever before .
The issue in which the new team faces -LRB- individually -RRB- their worst fears -LRB- found in this volume -RRB- is a real triumph in comic writing .",This review is directed primarily at those who no longer read comics or graphic novels as much as they used to. There are no spoilers
22,Amazon,,"First,let's write down the core of the classical and/or neoclassical theory Keynes criticized in the General Theory.Let  p equal the price level,w equal the money wage,MPL equal the marginal product of labor,mpc equal the marginal propensity to spend on consumption goods,mpi equal the marginal propensity to spend on investment goods(capital or producer goods like machinery,equipment or factories)and mps equal the marginal propensity to save .For the classical- neoclassical theory,the economy is at an optimal state on the boundary of both the static and dynamic production possibilities frontiers if the following equilibrium condition holds for the aggregate labor market:w/p=MPL.For Keynes the condition is w/p=MPL/(mpc+mpi).neoclassical theory is a special case where mpc+mpi=1.Keynes's GT is mpc+mpi&lt;or=1[mpc+mpi is &lt;or= to mpc+mps=1].neoclassical theory is the special case of an econony always operating on the boundaries of both PPF's under resource scarcity so that there is an inverse relationship between consumption goods and investment goods.Only in this special case will classical/neoclassical theory be operational.In a statistical sense,classical/neo. theory assumes that on average the economy is on its boundary.The business cycle would consist of minor inflationary/deflationary gaps which would be self correcting through business inventory adjustment alone.None of this is operational if the economy is operating in the interior of either PPF's.Given the stability of the consumption function, Keynes came to the conclusion that the problem was insufficient long run investment due to a highly volatile and unstable mpi in the private sector.The result is an investment gap.Keynes's solution is not deficit finance but having the public sector borrow the inactive private financial funds at existing very low rates of interest to spend as a special capital account on a continuing series of infrastructure projects which will more than pay for themselves over time.If this policy is opposed then Keynes would be willing to copy the wasteful policy of the Egyptian pharaohs and build a series of pyramids over time.Although wasteful,such a policy would close the investment gap and lead back to the boundary of the static and/or dynamic production possibilities frontier.classical/neo. theory would then be operational as long as the mpi's unstable behavior was continually offset by increased public sector/public goods/infrastructure spending ",long,2476,356,neutral,suboptimal,neutral,"theory assumes that on average the economy is on its boundary.The business cycle would consist of minor inflationary/deflationary gaps which would be self correcting through business inventory adjustment alone.None of this is operational if the economy is operating in the interior of either PPF's.Given the stability of the consumption function , Keynes came to the conclusion that the problem was insufficient long run investment due to a highly volatile and unstable mpi in the private sector.The result is an investment gap.Keynes 's solution is not deficit finance but having the public sector borrow the inactive private financial funds at existing very low rates of interest to spend as a special capital account on a continuing series of infrastructure projects which will more than pay for themselves over time.If this policy is opposed then Keynes would be willing to copy the wasteful policy of the Egyptian pharaohs and build a series of pyramids over time.Although wasteful , such a policy would close the investment gap and lead back to the boundary of the static and/or dynamic production possibilities frontier.classical/neo .<q>theory would then be operational as long as the mpi 's unstable behavior was continually offset by increased public sector/public goods/infrastructure spending","First , let 's write down the core of the classical and/or neoclassical theory Keynes criticized in the General Theory.Let p equal the price level , w equal the money wage , MPL equal the marginal product of labor , mpc equal the marginal propensity to spend on consumption goods , mpi equal the marginal propensity to spend on investment goods -LRB- capital or producer goods like machinery , equipment or factories -RRB- and mps equal the marginal propensity to save .
For the classical - neoclassical theory , the economy is at an optimal state on the boundary of both the static and dynamic production possibilities frontiers if the following equilibrium condition holds for the aggregate labor market : w/p = MPL.For Keynes the condition is w/p = MPL / -LRB- mpc + mpi -RRB- .
neoclassical theory is a special case where mpc + mpi = 1 .",Only in this special case will classical/neoclassical theory be operational.
66,Amazon,,"I read this book in '03 and it was one of the early PB editions. So perhaps some of the glaring mistakes have been corrected.First off ALL through the book the word ""lose"" is misspelled ""loose"". A glaring oversight and highly annoying. There are a lot other typos as well. Sentences that do not make any coherent sense such as on page 83...the bracketed blurb says ""Making unhealthy acts the enemy""...what?! And the CONSTANT and repetive use of excalmation points is almost hysterical. Didn't ANYONE edit this book? Tell her that repetive use of !!!'s is horrible writing and immature? God I would say that every other sentence ended in an ! and sometimes a !!. Silly. Perhaps with the newer editon these glaring errors have been edited out by someone competent.But really even with corrections the book is of not much use. She rambles way to much on her ""tragic"" life. Really, it's called a divorce...it's not tragedy...lose the drama. I believe she thinks since she lost so much weight that in some way this qualifies her to give motivation and diet advice. Not in any way. She obviously thinks she's a great motivator but her ideas, thoughts and such on that matter are lackluster and nothing anyone who hasn't read at least 3 diet books hasn't heard ad nauseum.This book reads like someone down the street wrote it and then printed it out..and handed it out. She can't write nor express herself in any commanding, articulate or interesting way. She really doesn't ""say"" a whole lot. The cover seems to promise some great motivation and or story and it just doesn't deliver.And one part I found just a tad hard to believe is where she talks about when she was a newborn. She doubled her weight in the FIRST week? Get real. So she was 14 or so pounds at a week old. Yea I buy that one. Also she said her dad didn't know you have to dilute the formula? What? Since when? Perhaps things were different in the 60's but now no way do you dilute it. That's what they do in 3rd world countries and it causes major malutrition and growth stunting. The whole book just was horrible and if you have any reading sensibilty or intelligence you will look elsewhere. It's another case of someone losing weight and then thinking they have some mindblowing advice to impart",long,2260,403,neutral,good,good,I believe she thinks since she lost so much weight that in some way this qualifies her to give motivation and diet advice .<q>So perhaps some of the glaring mistakes have been corrected.First off ALL through the book the word `` lose '' is misspelled `` loose '' .<q>Perhaps with the newer editon these glaring errors have been edited out by someone competent.But really even with corrections the book is of not much use .,"So perhaps some of the glaring mistakes have been corrected.First off ALL through the book the word `` lose '' is misspelled `` loose '' .
Sentences that do not make any coherent sense such as on page 83 ... the bracketed blurb says `` Making unhealthy acts the enemy '' ... what ?!
And the CONSTANT and repetive use of excalmation points is almost hysterical .",This book reads like someone down the street wrote it
